Datatype;Kode;Aar;Uke;Dag;Dato;Alias;Time1;Time2;Time3;Time4;Time5;Time6;Time7;Time8;Time9;Time10;Time11;Time12;Time13;Time14;Time15;Time16;Time17;Time18;Time19;Time20;Time21;Time22;Time23;Time24;Sum
FB;F;2022;1;1;03.01.2022;NO2;4027;3947;3946;3943;3940;4087;4313;4666;4788;4831;4852;4928;4886;4966;5034;5045;5216;5084;5020;5025;5050;4897;4771;4596;111858
FB;F;2022;1;2;04.01.2022;NO2;4521;4645;4493;4517;4486;4720;5071;5220;5283;5198;5216;5157;5196;5208;5187;5255;5213;5113;5149;5226;5171;4930;4804;4708;119687
FB;F;2022;1;3;05.01.2022;NO2;4520;4478;4609;4794;4744;4711;5066;5655;5244;5451;5457;5339;5320;5424;5383;5382;5434;5287;5249;5201;5192;5155;5166;5155;123416
FB;F;2022;1;4;06.01.2022;NO2;5034;4886;4779;4770;4786;4916;5261;5622;5675;5728;5749;5677;5562;5426;5408;5483;5582;5592;5397;5303;5293;5335;5304;5174;127742
FB;F;2022;1;5;07.01.2022;NO2;4936;5000;4878;4873;5066;5119;5332;5683;5736;5673;5649;5645;5580;5496;5471;5422;5431;5390;5397;5371;5179;5045;5012;4933;127317
FB;F;2022;1;6;08.01.2022;NO2;4967;4741;4700;4679;4696;4744;4777;4869;5080;5212;5214;5311;5307;5289;5268;5292;5437;5481;5298;5111;5166;5073;4979;4903;121594
FB;F;2022;1;7;09.01.2022;NO2;4793;4570;4702;4698;4726;4744;4798;4826;4910;5009;5169;5160;5055;5067;5067;5131;5210;5176;5153;5246;5224;5146;5119;4939;119638
FB;F;2022;2;1;10.01.2022;NO2;4808;4632;4592;4616;4713;4790;5070;5347;5455;5397;5377;5402;5403;5423;5451;5429;5511;5422;5340;5328;5251;5169;5051;4857;123834
FB;F;2022;2;2;11.01.2022;NO2;4819;4688;4665;4589;4613;4735;4895;5054;5121;5236;5372;5336;5187;5169;5146;5130;5237;5208;5212;5201;5135;4913;4851;4799;120311
FB;F;2022;2;3;12.01.2022;NO2;4644;4524;4434;4332;4486;4496;4788;4997;5142;5146;5152;5103;5082;5045;5071;5031;5205;5255;5046;4926;4961;4871;4749;4605;117091
FB;F;2022;2;4;13.01.2022;NO2;4475;4409;4370;4363;4383;4453;4678;5050;5104;5040;4998;4998;4955;4878;4863;4944;5010;4927;4846;4754;4717;4663;4566;4442;113886
FB;F;2022;2;5;14.01.2022;NO2;4322;4237;4206;4133;4257;4310;4615;4943;5064;5050;5063;5056;4974;4956;5007;4995;5144;5228;5142;5042;4894;4869;4710;4686;114903
FB;F;2022;2;6;15.01.2022;NO2;4634;4530;4444;4425;4509;4604;4652;4750;4912;5079;5103;5049;4985;4884;4871;4913;5039;5119;5140;5002;4726;4663;4578;4548;115159
FB;F;2022;2;7;16.01.2022;NO2;4416;4333;4312;4173;4091;4233;4432;4425;4393;4445;4585;4657;4671;4698;4729;4828;4841;4875;4827;4795;4857;4922;4753;4531;109822
FB;F;2022;3;1;17.01.2022;NO2;4417;4327;4396;4476;4726;5029;5310;5408;5319;4992;5176;5263;5353;5287;5160;5150;5254;5145;5202;5197;5089;4946;4815;4711;120148
FB;F;2022;3;2;18.01.2022;NO2;4499;4358;4502;4455;4533;4708;4961;5223;5273;5226;5232;5315;5326;5143;5044;5054;5149;5178;5120;4985;4897;4925;4908;4668;118682
FB;F;2022;3;3;19.01.2022;NO2;4448;4381;4315;4216;4253;4417;4680;4879;4932;4865;4895;4815;5031;5099;5152;5192;5213;5274;5260;5323;5242;5253;5123;4951;117209
FB;F;2022;3;4;20.01.2022;NO2;4832;4740;4776;4809;4814;4854;5216;5546;5643;5573;5621;5563;5481;5375;5378;5276;5438;5542;5567;5513;5422;5244;5083;4994;126300
FB;F;2022;3;5;21.01.2022;NO2;5061;4947;4702;4638;4660;4934;5165;5243;5210;5234;5379;5296;5270;5336;5290;5258;5240;5231;5250;4990;5103;4778;4743;4723;121681
FB;F;2022;3;6;22.01.2022;NO2;4800;4757;4606;4407;4472;4636;4751;4841;4832;4935;5010;4979;4955;4818;4802;4833;4785;4929;5065;4990;4906;4617;4530;4560;114816
FB;F;2022;3;7;23.01.2022;NO2;4484;4357;4251;4190;4196;4374;4379;4547;4664;4769;4805;4782;4735;4733;4714;4581;4887;5070;4933;4925;4892;4737;4695;4611;111311
FB;F;2022;4;1;24.01.2022;NO2;4492;4468;4370;4390;4444;4455;4800;5044;5082;5163;5213;5045;5035;5095;5003;4948;4891;5101;5070;4919;4896;5030;4820;4597;116371
FB;F;2022;4;2;25.01.2022;NO2;4525;4458;4417;4393;4372;4519;4949;5256;5316;5397;5380;5325;5263;5266;5212;5144;5108;5280;5222;5106;4676;4743;4909;4692;118928
FB;F;2022;4;3;26.01.2022;NO2;4419;4416;4532;4441;4507;4599;4876;5225;5315;5281;5247;5162;5073;4978;4923;5052;5241;5139;5042;5001;4898;5050;5008;4527;117952
FB;F;2022;4;4;27.01.2022;NO2;4343;4312;4399;4321;4340;4460;4777;5312;5218;5031;5117;5145;5139;5072;5063;5113;5129;5190;5101;5066;5087;4992;4831;4709;117267
FB;F;2022;4;5;28.01.2022;NO2;4597;4607;4537;4482;4474;4642;4976;5327;5520;5544;5375;5381;5314;5264;5324;5332;5359;5153;5085;5088;4942;4966;4883;4714;120886
FB;F;2022;4;6;29.01.2022;NO2;4579;4379;4387;4425;4462;4435;4406;4556;4691;4800;4838;4852;4998;4979;4946;5589;5482;5397;5354;5282;5180;5297;5283;5155;117752
FB;F;2022;4;7;30.01.2022;NO2;4996;4999;4778;4692;4689;4598;4548;4597;4692;4878;4934;4975;4907;4800;4802;4945;5199;5174;5064;4946;4939;4935;4822;4709;116618
FB;F;2022;5;1;31.01.2022;NO2;4555;4485;4364;4369;4506;4678;5103;5400;5410;5503;5525;5485;5436;5415;5563;5465;5290;5436;5579;5567;5606;5592;5311;5018;124661
FB;F;2022;5;2;01.02.2022;NO2;4794;4743;4851;4826;4848;4846;5230;5735;5988;5539;5555;5546;5644;5660;5582;5573;5559;5538;5477;5426;5366;5321;5169;4962;127778
FB;F;2022;5;3;02.02.2022;NO2;4874;4823;4790;4770;4840;4928;5225;5677;5835;5694;5693;5431;5529;5484;5345;5642;5564;5542;5393;5349;5372;5306;5177;4967;127250
FB;F;2022;5;4;03.02.2022;NO2;4844;4836;4803;4765;4878;5047;5261;5430;5472;5577;5668;5538;5553;5607;5539;5528;5454;5379;5329;5275;5219;5108;4901;4785;125796
FB;F;2022;5;5;04.02.2022;NO2;4690;4616;4640;4576;4636;4659;4743;5229;5325;5274;5402;5222;5151;5229;5283;5080;5132;5329;5420;5170;5016;5017;4913;4774;120526
FB;F;2022;5;6;05.02.2022;NO2;4913;4883;4759;4683;4705;4672;4775;4756;4913;4999;5124;5152;5141;4871;4883;4910;4952;5043;4984;4966;4995;4866;4647;4507;117099
FB;F;2022;5;7;06.02.2022;NO2;4536;4561;4649;4759;4749;4635;4721;4751;4704;4905;4842;4868;4931;4946;4911;4871;4985;5076;5110;5052;5015;4922;4796;4731;116026
FB;F;2022;6;1;07.02.2022;NO2;4703;4713;4696;4659;4700;4871;5207;5511;5521;5479;5443;5340;5063;5024;5193;5342;5312;5522;5357;5270;5031;4864;5007;4733;122561
FB;F;2022;6;2;08.02.2022;NO2;4399;4374;4450;4483;4511;4537;4762;5122;5170;5167;5125;5011;4935;4824;4943;4939;5016;5332;5119;4972;4933;4813;4688;4466;116091
FB;F;2022;6;3;09.02.2022;NO2;4395;4442;4412;4428;4463;4499;4798;5140;5215;5193;5170;5086;5113;5049;5056;5043;5206;5194;5141;5126;5063;4998;4892;4772;117894
FB;F;2022;6;4;10.02.2022;NO2;4818;4770;4522;4434;4535;4602;4887;5093;5096;5052;5154;5144;4926;4884;5138;5215;5276;5318;5203;5125;5114;5088;4979;4904;119277
FB;F;2022;6;5;11.02.2022;NO2;4746;4613;4592;4635;4721;4872;5281;5580;5576;5601;5530;5387;5242;5239;5195;5226;5210;4988;5035;5229;5162;4989;4813;4712;122174
FB;F;2022;6;6;12.02.2022;NO2;4609;4582;4605;4519;4391;4518;4590;4675;4832;4951;4983;5068;5026;5014;4988;4975;5019;5094;5037;4952;4851;4749;4658;4544;115230
FB;F;2022;6;7;13.02.2022;NO2;4527;4429;4418;4332;4340;4319;4334;4465;4505;4489;4634;4764;4718;4545;4622;4693;4689;4802;4620;4571;4676;4653;4616;4379;109140
FB;F;2022;7;1;14.02.2022;NO2;4436;4495;4474;4426;4402;4521;4780;5129;5200;5230;5243;5118;5156;5209;5116;5165;5226;5285;5190;5151;4973;4962;4867;4640;118394
FB;F;2022;7;2;15.02.2022;NO2;4593;4390;4204;4195;4396;4553;4823;5242;5216;5296;5289;5091;5038;5073;5009;4955;4878;5060;5230;5188;5066;4568;4722;4815;116890
FB;F;2022;7;3;16.02.2022;NO2;4681;4526;4571;4492;4437;4485;4887;5150;5317;5309;5214;5055;4903;4914;5001;5019;5136;4979;4760;4719;4765;4910;4819;4755;116804
FB;F;2022;7;4;17.02.2022;NO2;4662;4558;4531;4498;4457;4837;5192;5494;5757;5389;5308;5229;5027;5058;5077;5079;5045;5210;5285;5171;5055;5028;4899;4756;120602
FB;F;2022;7;5;18.02.2022;NO2;4566;4527;4650;4538;4390;4546;5063;5649;5395;5161;5193;5162;5132;5014;4872;4783;4927;4944;5039;5157;5059;4876;4931;4766;118340
FB;F;2022;7;6;19.02.2022;NO2;4584;4564;4568;4536;4424;4502;4711;4905;5186;5114;5103;4978;4932;4894;4913;4937;4898;4940;4961;5132;5056;4917;4865;4799;116419
FB;F;2022;7;7;20.02.2022;NO2;4788;4681;4720;4761;4779;4775;4750;4788;4851;4939;5068;5012;5058;5134;5157;5227;5278;5198;5113;5108;5068;5003;4946;4775;118977
FB;F;2022;8;1;21.02.2022;NO2;4740;4664;4683;4674;4677;4720;4884;5401;5448;5447;5325;5290;5307;5249;5171;5077;5031;5150;5195;5162;5147;5075;4963;4845;121325
FB;F;2022;8;2;22.02.2022;NO2;4741;4663;4594;4666;4799;5010;5408;5728;5820;5612;5400;5234;5208;5464;5511;5501;5648;5755;5508;5269;5199;5164;4997;4954;125853
FB;F;2022;8;3;23.02.2022;NO2;4913;4790;4689;4634;4715;4811;5237;5561;5515;5404;5235;5189;5198;5183;5256;5299;5303;5241;5228;5213;5186;5076;4848;4808;122532
FB;F;2022;8;4;24.02.2022;NO2;4834;4497;4266;4236;4515;4922;5070;5246;5176;5189;5155;4980;4957;5013;5005;4955;4838;4939;5021;5085;5065;5002;4882;4797;117645
FB;F;2022;8;5;25.02.2022;NO2;4727;4677;4589;4654;4761;4939;5291;5372;5294;5319;5317;5185;5148;5055;4959;4850;4898;5036;5034;5022;4824;4633;4768;5001;119353
FB;F;2022;8;6;26.02.2022;NO2;4880;4786;4761;4727;4752;4773;4828;4907;4969;5133;5025;5017;5023;4971;4831;4827;4867;5024;5141;5074;4912;4894;4732;4630;117484
FB;F;2022;8;7;27.02.2022;NO2;4546;4414;4319;4322;4340;4441;4499;4528;4626;4697;4702;4692;4603;4533;4594;4586;4675;4690;4806;4783;4706;4690;4646;4603;110041
FB;F;2022;9;1;28.02.2022;NO2;4561;4473;4455;4483;4509;4693;4921;5240;5313;5325;5262;5063;5087;5113;5115;5125;5079;5013;5048;5170;5119;5028;4889;4844;118928
FB;F;2022;9;2;01.03.2022;NO2;4616;4521;4648;4558;4398;4463;4856;5105;5148;5130;5126;5027;4948;4882;4824;4772;4907;4880;5034;5053;4935;4854;4793;4630;116108
FB;F;2022;9;3;02.03.2022;NO2;4529;4455;4431;4384;4410;4526;4779;5192;5176;5150;5140;4955;4904;4786;4743;4686;4694;4652;4832;4780;4871;4854;4816;4575;114320
FB;F;2022;9;4;03.03.2022;NO2;4398;4390;4325;4233;4364;4631;5025;5105;5052;4990;5001;4637;4675;4768;4785;4784;4808;4901;5026;5013;4825;4782;4775;4738;114031
FB;F;2022;9;5;04.03.2022;NO2;4585;4473;4422;4458;4598;4780;5133;5415;5357;5146;5017;4938;4859;4868;4780;4689;4817;4865;4948;4902;4878;4794;4877;4780;116379
FB;F;2022;9;6;05.03.2022;NO2;4565;4543;4564;4568;4539;4560;4624;4699;4895;4992;5001;4925;4854;4802;4735;4697;4714;4845;4949;4822;4648;4653;4679;4542;113415
FB;F;2022;9;7;06.03.2022;NO2;4443;4506;4548;4527;4439;4513;4775;4797;4736;4631;4585;4522;4430;4347;4316;4342;4457;4641;4737;4806;4818;4706;4734;4739;110095
FB;F;2022;10;1;07.03.2022;NO2;4577;4484;4408;4446;4530;4624;4943;5278;5369;5244;5095;4965;4901;4814;4758;4710;4798;4889;4944;4997;5047;5011;4903;4743;116478
FB;F;2022;10;2;08.03.2022;NO2;4647;4588;4568;4572;4647;4684;5125;5450;5428;5217;5101;4913;4867;4855;4782;4812;4888;4887;4967;5045;4995;4865;4792;4692;117387
FB;F;2022;10;3;09.03.2022;NO2;4612;4479;4473;4435;4542;4583;4930;5197;5295;5171;5143;5039;4967;4890;4890;4850;4950;4825;4845;4849;4800;4784;4693;4539;115781
FB;F;2022;10;4;10.03.2022;NO2;4471;4666;4224;4095;4168;4476;4663;4923;4843;4762;4538;4469;4317;4651;4784;4811;4803;4773;4767;4765;4720;4661;4570;4444;110364
FB;F;2022;10;5;11.03.2022;NO2;4357;4258;4176;4181;4256;4321;4632;4977;5002;4931;4897;4785;4728;4696;4657;4626;4637;4679;4703;4727;4654;4614;4523;4459;110476
FB;F;2022;10;6;12.03.2022;NO2;4415;4339;4339;4301;4341;4387;4438;4485;4651;4692;4634;4531;4466;4398;4373;4384;4379;4495;4647;4671;4307;4419;4358;4332;106782
FB;F;2022;10;7;13.03.2022;NO2;4360;4363;4303;4292;4359;4364;4336;4299;4354;4476;4416;4383;4371;4330;4386;4450;4419;4394;4709;4573;4577;4495;4437;4274;105720
FB;F;2022;11;1;14.03.2022;NO2;4205;4175;4219;4143;4165;4418;4749;5020;4971;4783;4767;4722;4619;4582;4598;4682;4722;4755;4834;4844;4783;4684;4591;4469;110500
FB;F;2022;11;2;15.03.2022;NO2;4344;4192;4229;4262;4327;4489;4831;4971;4577;4942;5055;4971;4873;4758;4816;4837;4903;4865;4908;4932;4824;4791;4605;4461;112763
FB;F;2022;11;3;16.03.2022;NO2;4371;4214;4258;4330;4409;4458;4683;4892;5051;4981;4984;4929;4854;4806;4723;4753;4778;4818;4802;4779;4706;4643;4449;4343;112014
FB;F;2022;11;4;17.03.2022;NO2;4218;4156;4132;4141;4158;4319;4553;4840;4932;4699;4680;4937;4919;4921;5015;5203;4976;4806;4767;4883;4904;4737;4556;4547;111999
FB;F;2022;11;5;18.03.2022;NO2;4415;4173;4198;4257;4260;4474;4635;4835;4929;4907;4612;4515;4474;4454;4459;4387;4420;4445;4525;4592;4542;4494;4435;4279;107716
FB;F;2022;11;6;19.03.2022;NO2;4183;4126;4115;4029;4198;4258;4332;4391;4475;4469;4428;4388;4270;4190;4126;4102;4145;4231;4332;4389;4381;4257;4210;4121;102146
FB;F;2022;11;7;20.03.2022;NO2;4009;4044;4017;4155;4112;4148;4114;4151;4100;4121;4148;4001;3813;3845;3880;3860;4002;4047;4150;4320;4304;4308;4281;4131;98061
FB;F;2022;12;1;21.03.2022;NO2;4085;4157;4123;4103;4180;4364;4814;4986;4983;4827;4783;4630;4559;4441;4519;4517;4541;4562;4624;4647;4550;4594;4572;4422;108583
FB;F;2022;12;2;22.03.2022;NO2;4229;4061;4085;4158;4262;4345;4632;4876;4876;4767;4732;4588;4562;4519;4473;4453;4377;4458;4439;4599;4604;4555;4485;4332;107467
FB;F;2022;12;3;23.03.2022;NO2;4177;4219;4225;4249;4286;4448;4698;4893;4864;4751;4580;4491;4396;4470;4485;4448;4420;4398;4434;4577;4560;4507;4383;4275;107234
FB;F;2022;12;4;24.03.2022;NO2;4202;4092;4062;4063;4132;4226;4430;4762;4830;4665;4566;4444;4377;4302;4336;4393;4353;4310;4303;4465;4477;4431;4314;4173;104708
FB;F;2022;12;5;25.03.2022;NO2;4161;4042;3924;3819;3853;4027;4265;4585;4629;4671;4595;4337;4360;4214;4165;4195;4358;4331;4325;4343;4280;4194;4128;4094;101895
FB;F;2022;12;6;26.03.2022;NO2;3947;3726;3716;3665;3736;3896;4041;4107;4080;4237;4320;4255;4089;3973;3928;3867;3975;3986;4052;4176;4205;4105;4080;3917;96079
FB;F;2022;12;7;27.03.2022;NO2;3905;3848;;3794;3911;4001;3960;3806;3841;3992;4016;4059;4107;4137;4064;4040;4088;4115;4056;3955;4060;4073;3992;3893;91713
FB;F;2022;13;1;28.03.2022;NO2;3843;3814;3845;3858;3828;3946;4178;4418;4423;4357;4345;4230;4225;4204;4289;4241;4196;4169;4282;4333;4427;4458;4327;4109;100345
FB;F;2022;13;2;29.03.2022;NO2;3982;3995;4027;4173;4258;4346;4604;4943;4973;4923;4912;4594;4557;4501;4427;3913;4648;4539;4414;4571;4802;4803;4639;4527;108071
FB;F;2022;13;3;30.03.2022;NO2;4382;4281;4243;4235;4339;4448;4838;5130;5016;5106;4962;4770;4687;4694;4670;4531;4543;4490;4491;4558;4694;4686;4613;4433;110840
FB;F;2022;13;4;31.03.2022;NO2;4340;4288;4299;4307;4271;4585;4897;5213;5214;5103;4965;4746;4591;4583;4416;4410;4306;4300;4422;4541;4629;4626;4483;4367;109902
FB;F;2022;13;5;01.04.2022;NO2;4244;4166;4232;4245;4354;4561;4873;5205;5169;4923;4842;4780;4555;4560;4521;4462;4412;4365;4280;4552;4640;4512;4502;4409;109364
FB;F;2022;13;6;02.04.2022;NO2;4303;4304;4323;4290;4309;4345;4434;4558;4929;4491;4549;4484;4405;4318;4257;4188;4226;4372;4375;4501;4466;4440;4293;4217;105377
FB;F;2022;13;7;03.04.2022;NO2;4127;4129;4015;4001;4139;4197;4192;4175;4145;4159;4414;4493;4423;4351;4310;4279;4226;4122;4250;4355;4365;4227;4194;4140;101428
FB;F;2022;14;1;04.04.2022;NO2;4064;4038;3980;4029;4045;4190;4559;4607;4453;4553;4687;4625;4674;4620;4491;4440;4470;4403;4381;4469;4563;4570;4463;4338;105712
FB;F;2022;14;2;05.04.2022;NO2;4323;4238;4181;4169;4173;4338;4785;5079;5123;4975;4878;4678;4515;4536;4569;4467;4495;4332;4296;4482;4706;4635;4539;4453;108965
FB;F;2022;14;3;06.04.2022;NO2;4288;4137;4112;4121;4189;4334;4691;4744;4909;4711;4795;4695;4540;4539;4544;4645;4734;4809;4876;4822;4689;4660;4603;4476;109663
FB;F;2022;14;4;07.04.2022;NO2;4381;4297;4147;4062;4213;4366;4685;4982;4920;4883;4852;4715;4677;4806;4750;4683;4654;4513;4352;4458;4573;4532;4684;4470;109655
FB;F;2022;14;5;08.04.2022;NO2;4288;4046;3969;4031;4197;4306;4440;4797;5104;5104;4909;4822;4698;4439;4368;4390;4384;4373;4475;4474;4459;4449;4394;4350;107266
FB;F;2022;14;6;09.04.2022;NO2;4367;4283;4314;4300;4192;4268;4356;4293;4432;4635;4658;4596;4545;4499;4449;4404;4423;4448;4479;4511;4481;4509;4396;4364;106202
FB;F;2022;14;7;10.04.2022;NO2;4291;4195;3985;3997;3967;4214;4218;4263;4359;4389;4424;4336;4273;4230;4234;4166;4116;4176;4181;4194;4272;4390;4256;4182;101308
FB;F;2022;15;1;11.04.2022;NO2;4067;4117;3979;4126;4012;4225;4538;4758;4829;4664;4502;4590;4458;4392;4344;4306;4301;4312;4352;4385;4473;4447;4393;4306;104876
FB;F;2022;15;2;12.04.2022;NO2;4117;4007;4005;3953;3970;4112;4324;4590;4639;4588;4474;4491;4413;4478;4502;4460;4405;4469;4453;4441;4391;4360;4236;4244;104122
FB;F;2022;15;3;13.04.2022;NO2;4454;4303;4013;3968;3994;4032;4208;4429;4521;4620;4654;4619;4613;4578;4592;4570;4544;4494;4498;4525;4470;4397;4282;4135;105513
FB;F;2022;15;4;14.04.2022;NO2;3922;3897;3878;3839;3861;3952;4006;4100;4106;4262;4327;4350;4031;4237;4256;4248;4278;4280;4283;4270;4185;4199;4106;4076;98949
FB;F;2022;15;5;15.04.2022;NO2;3968;3860;3832;3890;3928;3935;4000;4074;4111;3999;3982;3943;3924;3884;3863;3769;3775;3825;3843;3871;3965;4001;3939;3872;94053
FB;F;2022;15;6;16.04.2022;NO2;3841;3775;3721;3756;3796;3857;3915;3968;4040;4055;4136;4122;4097;4040;4016;4011;4080;4030;4077;4006;4049;4006;3920;3825;95139
FB;F;2022;15;7;17.04.2022;NO2;3837;3844;3868;3905;3864;3860;3864;3918;3940;4043;4058;3991;3961;3950;3914;3897;3806;3928;3994;3949;4052;4163;3916;3894;94416
FB;F;2022;16;1;18.04.2022;NO2;3843;3829;3792;3777;3781;3865;3924;3987;4150;4166;4115;4057;4048;3990;3882;3887;3832;3755;3747;3811;3975;4006;3927;3824;93970
FB;F;2022;16;2;19.04.2022;NO2;3638;3553;3602;3676;3811;3949;4153;4354;4491;4364;4295;4150;4070;3955;3956;3939;3961;3882;3854;3935;3988;4027;3932;3728;95263
FB;F;2022;16;3;20.04.2022;NO2;3738;3667;3686;3783;3741;3804;4067;4388;4376;4215;4111;3997;3994;3889;3960;3911;3911;3853;3857;3862;3894;3993;3939;3749;94385
FB;F;2022;16;4;21.04.2022;NO2;3580;3517;3484;3558;3598;3806;4069;4282;4206;4010;3879;3725;3551;3713;3822;3882;3931;3901;3898;3897;3898;3961;3864;3716;91748
FB;F;2022;16;5;22.04.2022;NO2;3772;3494;3477;3439;3471;3609;3859;4075;4078;3915;3627;3596;3731;3837;3856;3791;3716;3725;3678;3703;3738;3736;3721;3619;89263
