referenceTime;snittemp
2021-01-01T00:00:00.000Z;-0.636904762
2021-01-01T01:00:00.000Z;-0.792134831
2021-01-01T02:00:00.000Z;-0.78988764
2021-01-01T03:00:00.000Z;-0.834831461
2021-01-01T04:00:00.000Z;-0.888764045
2021-01-01T05:00:00.000Z;-0.883146067
2021-01-01T06:00:00.000Z;-0.896629213
2021-01-01T07:00:00.000Z;-0.912359551
2021-01-01T08:00:00.000Z;-0.907865169
2021-01-01T09:00:00.000Z;-1.003370787
2021-01-01T10:00:00.000Z;-0.880898876
2021-01-01T11:00:00.000Z;-0.680898876
2021-01-01T12:00:00.000Z;-0.698876404
2021-01-01T13:00:00.000Z;-0.792134831
2021-01-01T14:00:00.000Z;-1.059550562
2021-01-01T15:00:00.000Z;-1.450561798
2021-01-01T16:00:00.000Z;-1.765168539
2021-01-01T17:00:00.000Z;-1.953932584
2021-01-01T18:00:00.000Z;-1.968539326
2021-01-01T19:00:00.000Z;-1.971910112
2021-01-01T20:00:00.000Z;-1.952808989
2021-01-01T21:00:00.000Z;-1.939325843
2021-01-01T22:00:00.000Z;-1.806741573
2021-01-01T23:00:00.000Z;-1.48452381
2021-01-02T00:00:00.000Z;-1.392857143
2021-01-02T01:00:00.000Z;-1.507865169
2021-01-02T02:00:00.000Z;-1.539325843
2021-01-02T03:00:00.000Z;-1.412359551
2021-01-02T04:00:00.000Z;-1.397752809
2021-01-02T05:00:00.000Z;-1.392134831
2021-01-02T06:00:00.000Z;-1.374157303
2021-01-02T07:00:00.000Z;-1.398876404
2021-01-02T08:00:00.000Z;-1.441573034
2021-01-02T09:00:00.000Z;-1.258426966
2021-01-02T10:00:00.000Z;-1.062921348
2021-01-02T11:00:00.000Z;-0.74494382
2021-01-02T12:00:00.000Z;-0.505617978
2021-01-02T13:00:00.000Z;-0.358426966
2021-01-02T14:00:00.000Z;-0.437078652
2021-01-02T15:00:00.000Z;-0.586516854
2021-01-02T16:00:00.000Z;-0.684269663
2021-01-02T17:00:00.000Z;-0.711235955
2021-01-02T18:00:00.000Z;-0.708988764
2021-01-02T19:00:00.000Z;-0.680898876
2021-01-02T20:00:00.000Z;-0.692134831
2021-01-02T21:00:00.000Z;-0.595505618
2021-01-02T22:00:00.000Z;-0.576404494
2021-01-02T23:00:00.000Z;-0.364285714
2021-01-03T00:00:00.000Z;-0.351190476
2021-01-03T01:00:00.000Z;-0.65505618
2021-01-03T02:00:00.000Z;-0.646067416
2021-01-03T03:00:00.000Z;-0.673033708
2021-01-03T04:00:00.000Z;-0.892134831
2021-01-03T05:00:00.000Z;-0.964044944
2021-01-03T06:00:00.000Z;-0.882022472
2021-01-03T07:00:00.000Z;-0.894382022
2021-01-03T08:00:00.000Z;-1.258426966
2021-01-03T09:00:00.000Z;-1.480898876
2021-01-03T10:00:00.000Z;-1.331460674
2021-01-03T11:00:00.000Z;-0.924719101
2021-01-03T12:00:00.000Z;-0.812359551
2021-01-03T13:00:00.000Z;-1.025842697
2021-01-03T14:00:00.000Z;-1.691011236
2021-01-03T15:00:00.000Z;-2.486516854
2021-01-03T16:00:00.000Z;-3.105617978
2021-01-03T17:00:00.000Z;-3.587640449
2021-01-03T18:00:00.000Z;-3.956179775
2021-01-03T19:00:00.000Z;-4.188764045
2021-01-03T20:00:00.000Z;-4.359550562
2021-01-03T21:00:00.000Z;-4.616853933
2021-01-03T22:00:00.000Z;-4.971910112
2021-01-03T23:00:00.000Z;-4.81547619
2021-01-04T00:00:00.000Z;-4.985714286
2021-01-04T01:00:00.000Z;-5.598876404
2021-01-04T02:00:00.000Z;-5.723595506
2021-01-04T03:00:00.000Z;-5.870786517
2021-01-04T04:00:00.000Z;-5.901123596
2021-01-04T05:00:00.000Z;-5.828089888
2021-01-04T06:00:00.000Z;-5.819101124
2021-01-04T07:00:00.000Z;-5.74494382
2021-01-04T08:00:00.000Z;-5.26741573
2021-01-04T09:00:00.000Z;-4.839325843
2021-01-04T10:00:00.000Z;-4.133707865
2021-01-04T11:00:00.000Z;-3.256179775
2021-01-04T12:00:00.000Z;-2.815730337
2021-01-04T13:00:00.000Z;-2.779775281
2021-01-04T14:00:00.000Z;-3.119101124
2021-01-04T15:00:00.000Z;-3.661797753
2021-01-04T16:00:00.000Z;-3.856179775
2021-01-04T17:00:00.000Z;-4.004494382
2021-01-04T18:00:00.000Z;-3.994382022
2021-01-04T19:00:00.000Z;-3.866292135
2021-01-04T20:00:00.000Z;-3.866292135
2021-01-04T21:00:00.000Z;-3.728089888
2021-01-04T22:00:00.000Z;-3.751685393
2021-01-04T23:00:00.000Z;-3.479761905
2021-01-05T00:00:00.000Z;-3.610714286
2021-01-05T01:00:00.000Z;-3.937078652
2021-01-05T02:00:00.000Z;-4.021348315
2021-01-05T03:00:00.000Z;-4.108988764
2021-01-05T04:00:00.000Z;-4.142696629
2021-01-05T05:00:00.000Z;-4.175280899
2021-01-05T06:00:00.000Z;-4.25505618
2021-01-05T07:00:00.000Z;-4.462921348
2021-01-05T08:00:00.000Z;-4.756179775
2021-01-05T09:00:00.000Z;-4.911235955
2021-01-05T10:00:00.000Z;-4.684269663
2021-01-05T11:00:00.000Z;-4.312359551
2021-01-05T12:00:00.000Z;-3.840449438
2021-01-05T13:00:00.000Z;-3.74494382
2021-01-05T14:00:00.000Z;-4.291011236
2021-01-05T15:00:00.000Z;-5.051685393
2021-01-05T16:00:00.000Z;-5.68988764
2021-01-05T17:00:00.000Z;-6.162921348
2021-01-05T18:00:00.000Z;-6.540449438
2021-01-05T19:00:00.000Z;-6.749438202
2021-01-05T20:00:00.000Z;-6.976404494
2021-01-05T21:00:00.000Z;-7.316853933
2021-01-05T22:00:00.000Z;-7.543820225
2021-01-05T23:00:00.000Z;-7.346428571
2021-01-06T00:00:00.000Z;-7.55952381
2021-01-06T01:00:00.000Z;-8.128089888
2021-01-06T02:00:00.000Z;-8.335955056
2021-01-06T03:00:00.000Z;-8.619101124
2021-01-06T04:00:00.000Z;-8.739325843
2021-01-06T05:00:00.000Z;-8.928089888
2021-01-06T06:00:00.000Z;-9.138202247
2021-01-06T07:00:00.000Z;-9.241573034
2021-01-06T08:00:00.000Z;-9.320224719
2021-01-06T09:00:00.000Z;-9.265168539
2021-01-06T10:00:00.000Z;-8.659550562
2021-01-06T11:00:00.000Z;-7.994382022
2021-01-06T12:00:00.000Z;-7.26741573
2021-01-06T13:00:00.000Z;-7.125842697
2021-01-06T14:00:00.000Z;-7.239325843
2021-01-06T15:00:00.000Z;-7.650561798
2021-01-06T16:00:00.000Z;-8.12247191
2021-01-06T17:00:00.000Z;-8.308988764
2021-01-06T18:00:00.000Z;-8.456179775
2021-01-06T19:00:00.000Z;-8.55505618
2021-01-06T20:00:00.000Z;-8.44494382
2021-01-06T21:00:00.000Z;-8.391011236
2021-01-06T22:00:00.000Z;-8.458426966
2021-01-06T23:00:00.000Z;-7.738095238
2021-01-07T00:00:00.000Z;-7.666666667
2021-01-07T01:00:00.000Z;-8.191011236
2021-01-07T02:00:00.000Z;-8.152808989
2021-01-07T03:00:00.000Z;-8.020224719
2021-01-07T04:00:00.000Z;-8.11011236
2021-01-07T05:00:00.000Z;-8.202247191
2021-01-07T06:00:00.000Z;-8.221348315
2021-01-07T07:00:00.000Z;-8.285393258
2021-01-07T08:00:00.000Z;-8.33258427
